date_local,site_num,co_mean,hap_mean,lead_mean,o2_mean,o3_mean,t_mean
2018-12-04,8001,0.22916699999999998,0.0,0.0022099999999999997,18.054167,0.018647,58.708332999999996
2019-03-04,8001,0.169292,0.06,0.001,6.6833329999999993,0.021647,55.300000000000004
2019-06-26,0002,0.258333,0.0,0.00631,11.633332999999999,0.036176,67.604167
2018-12-04,8001,0.2,0.0,0.0022099999999999997,18.054167,0.018647,58.708332999999996
2019-09-27,0005,0.2,-0.002,0.00308,3.5,0.025824,67.0
2019-06-08,1103,0.2625,0.001,0.005,10.9875,0.036352999999999996,68.791667
2018-08-30,0011,0.2,0.0,0.00311,4.034783,0.046235,73.12083299999999
2018-12-16,1002,0.35000000000000003,0.00095999999999999992,0.0024000000000000002,12.630435,0.017824,51.954167
2018-07-07,1103,0.354167,0.03,0.011000000000000001,18.170833,0.052882,88.3125
2019-06-14,8001,0.2,-0.001,0.004,4.591667,0.040471,67.162500000000009
2018-09-11,1002,0.219087,0.01,0.00718,11.834783,0.037471,73.925
2018-02-07,0002,0.36250000000000004,0.00065,0.0053,14.275,0.037647,70.166667
2018-11-10,1103,1.25,0.0,0.023,30.470833,0.019118,63.15
2018-05-26,1002,0.149696,0.45,0.00216,6.065217,0.024235,63.391667
2018-09-23,1002,0.2625,0.2,0.00438,10.791304,0.03,73.970833
2018-11-04,1103,0.775,0.07,0.008,30.104167,0.033646999999999996,70.079167
2018-01-26,8001,0.375,0.2,0.004,18.333333,0.021824,54.316666999999995
2019-06-14,0005,0.177591,0.1,0.0025399999999999997,5.422727,0.024412,64.0
2019-09-24,8001,0.279167,0.001,0.007,16.5125,0.032528999999999995,78.904167
2018-04-20,1022,0.23185699999999998,0.1,0.00212,3.3333329999999997,0.0455,60.541667
2018-01-02,8001,0.75416699999999992,2.22,0.01,27.129167,0.017941,64.854167
2018-02-19,8001,0.17041699999999999,0.0,0.00592,5.6625000000000005,0.028176,49.775000000000006
2019-11-29,8001,0.225,0.2,0.001,13.025,0.019528999999999998,45.65
2018-09-05,8001,0.383333,0.011000000000000001,0.006,10.379166999999999,0.041528999999999996,72.708333
2019-04-15,1103,0.304458,0.0,0.008,14.4375,0.032588,58.962500000000006
2018-01-02,0005,1.042857,0.058,0.0117,33.933333,0.001176,54.5
2018-09-23,1022,0.24519,0.0,0.0022199999999999998,4.0,0.044500000000000005,70.333333
2019-04-27,0005,0.204167,0.002,0.0038,5.790909,0.034706,60.791667
2018-07-25,8001,0.391667,0.0422,0.004,9.9083329999999989,0.057881999999999996,86.491666999999993
2018-09-05,1103,0.23750000000000002,0.007,0.004,7.5625,0.033941,69.179166999999993
2018-12-04,1103,0.561429,1.17,0.0067399999999999995,30.585714,0.008768999999999999,59.712500000000006
2018-03-06,0005,0.52916699999999994,0.0,0.0048000000000000004,23.077272999999998,0.016176,56.380952
2019-05-23,8001,0.294444,0.152,0.0022299999999999998,17.361905,0.0075000000000000006,55.916667
2019-01-21,1103,0.188625,0.08,0.002,4.779167,0.034235,57.245833
2019-06-02,8001,0.2,0.152,0.00284,4.8875,0.039175999999999996,62.525000000000006
2019-05-09,8001,0.2,0.0,0.00231,5.856522,0.032646999999999995,60.154166999999994
2018-02-19,1002,0.208333,0.00095999999999999992,0.0028,9.169565,0.023176,45.191666999999995
2019-01-21,1103,0.245833,0.0,0.0028499999999999997,4.779167,0.034235,57.245833
2019-02-02,1103,0.245833,-0.004,0.001,10.229167,0.024118,54.2
2018-05-26,1103,0.220833,0.0,0.004,8.775,0.027705999999999998,63.15
2019-10-18,1103,0.3875,0.36,0.007,21.283333,0.018175999999999998,67.154167
2019-05-21,1103,0.16441699999999998,1.2,0.004,9.108333,0.028117999999999997,61.104167
2019-10-18,1103,0.3875,0.0,0.007,21.283333,0.018175999999999998,67.154167
2018-10-29,0008,0.11087,0.001,0.00278,1.491304,0.032764999999999996,63.091666999999994
2018-10-05,1022,0.177778,-0.003,0.00217,5.526316,0.027285999999999998,68.583333
2018-10-29,1103,0.90416699999999994,4.4,0.0126,29.704166999999998,0.030587999999999997,65.43333299999999
2018-01-08,8001,0.704167,0.0,0.008,27.529166999999998,0.004294,60.529166999999994
2018-02-19,8001,0.329167,0.2,0.00592,5.6625000000000005,0.028176,49.775000000000006
2018-06-13,1103,0.319583,0.0,0.007,18.525000000000002,0.033941,71.145833
2019-01-21,8001,0.16666699999999998,-0.001,0.002,9.6916669999999989,0.026882,55.241667
2018-12-10,8001,0.49166699999999997,-0.001,0.01,30.570833,0.0014119999999999998,58.970833
2019-02-26,1103,0.561083,0.00087,0.0090000000000000011,26.900000000000002,0.021882,56.495833
2018-08-24,8001,0.354167,0.012,0.004,7.285,0.043000000000000003,74.429166999999993
2019-01-09,1103,0.680792,2.4,0.00783,26.425,0.010882,57.641667
